title,book_authors,publicationYear,categories
The Left Hand of Darkness,Ursula K. Le Guin,1969,Science Fiction
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,2017,Drama
Norwegian Wood,Haruki Murakami,1987,Romance
The House of the Spirits,Isabel Allende,1982,Family
Educated,Tara Westover,2018,Memoir
Persepolis,Marjane Satrapi,2000,Biography
The Road,Cormac McCarthy,2006,Post-apocalyptic
The Midnight Library,Matt Haig,2020,Fiction
The Martian,Andy Weir,2011,Adventure
Kafka on the Shore,Haruki Murakami,2002,Fiction
Piranesi,Susanna Clarke,2020,Fantasy
The Shadow of the Wind,Carlos Ruiz Zafón,2001,Mystery
Circe,Madeline Miller,2018,Mythology
Long Way Down,Jason Reynolds,2017,Young Adult
A Man Called Ove,Fredrik Backman,2012,Comedy
The Night Circus,Erin Morgenstern,2011,Fantasy
Sapiens: A Brief History of Humankind,Yuval Noah Harari,2011,History
Mexican Gothic,Silvia Moreno-Garcia,2020,Horror
Kindred,Octavia E. Butler,1979,Time Travel
The Silence of the Lambs,Thomas Harris,1988,Thriller
